state	year	state.population	prison.population	region
California	1992	NA	109496	West
Colorado	1992	NA	8460	West
Connecticut	1992	NA	11055	Northeast
Delaware	1992	NA	3975	South
Florida	1992	NA	48302	South
Georgia	1992	NA	25290	South
Hawaii	1992	NA	2674	West
Idaho	1992	NA	2164	West
Illinois	1992	NA	31640	Midwest
Indiana	1992	NA	13945	Midwest
Iowa	1992	NA	4518	Midwest
Kansas	1992	NA	6033	Midwest
Kentucky	1992	NA	8720	South
Louisiana	1992	NA	16233	South
Maine	1992	NA	1510	Northeast
Maryland	1992	NA	19677	South
Massachusetts	1992	NA	10053	Northeast
Michigan	1992	NA	39113	Midwest
Minnesota	1992	NA	3849	Midwest
Mississippi	1992	NA	7873	South
Missouri	1992	NA	16189	Midwest
Montana	1992	NA	1466	West
Nebraska	1992	NA	2670	Midwest
Nevada	1992	NA	5978	West
New Hampshire	1992	NA	1864	Northeast
New Jersey	1992	NA	19117	Northeast
New Mexico	1992	NA	3290	West
New York	1992	NA	61736	Northeast
North Carolina	1992	NA	20662	South
North Dakota	1992	NA	550	Midwest
Ohio	1992	NA	37997	Midwest
Oklahoma	1992	NA	12211	South
Oregon	1992	NA	6487	West
Pennsylvania	1992	NA	24990	Northeast
Rhode Island	1992	NA	2739	Northeast
South Carolina	1992	NA	16462	South
South Dakota	1992	NA	1509	Midwest
Tennessee	1992	NA	10729	South
Texas	1992	NA	61178	South
Utah	1992	NA	2958	West
Vermont	1992	NA	1211	Northeast
Virginia	1992	NA	16934	South
Washington	1992	NA	9981	West
West Virginia	1992	NA	1674	South
Wisconsin	1992	NA	8191	Midwest
Wyoming	1992	NA	1064	West
Alabama	1993	NA	18313	South
Alaska	1993	NA	2703	West
Arizona	1993	NA	17811	West
Arkansas	1993	NA	7702	South
California	1993	NA	119951	West
Colorado	1993	NA	8902	West
Connecticut	1993	NA	13384	Northeast
Delaware	1993	NA	4129	South
Florida	1993	NA	53048	South
Georgia	1993	NA	27783	South
Hawaii	1993	NA	2814	West
Idaho	1993	NA	2500	West
Illinois	1993	NA	34495	Midwest
Indiana	1993	NA	14470	Midwest
Iowa	1993	NA	4898	Midwest
Kansas	1993	NA	5732	Midwest
Kentucky	1993	NA	8622	South
Louisiana	1993	NA	16078	South
Maine	1993	NA	1437	Northeast
Maryland	1993	NA	19992	South
Massachusetts	1993	NA	10229	Northeast
Michigan	1993	NA	39318	Midwest
Minnesota	1993	NA	4060	Midwest
Mississippi	1993	NA	8326	South
Missouri	1993	NA	16178	Midwest
Montana	1993	NA	1541	West
Nebraska	1993	NA	2483	Midwest
Nevada	1993	NA	6153	West
New Hampshire	1993	NA	1899	Northeast
New Jersey	1993	NA	20237	Northeast
New Mexico	1993	NA	3499	West
New York	1993	NA	64569	Northeast
North Carolina	1993	NA	22098	South
North Dakota	1993	NA	572	Midwest
Ohio	1993	NA	40253	Midwest
Oklahoma	1993	NA	12108	South
Oregon	1993	NA	6544	West
Pennsylvania	1993	NA	26059	Northeast
